"","word","sentiment"
"1","a+","positif"
"2","acungan jempol","positif"
"3","adaptif","positif"
"4","adil","positif"
"5","afinitas","positif"
"6","afirmasi","positif"
"7","agilely","positif"
"8","agung","positif"
"9","ahli","positif"
"10","ahlinya","positif"
"11","ajaib","positif"
"12","aklamasi","positif"
"13","akomodatif","positif"
"14","akurat","positif"
"15","alam mimpi","positif"
"16","alhamdulillah","positif"
"17","allahu akbar","positif"
"18","altruistis","positif"
"19","aman","positif"
"20","amanah","positif"
"21","amat","positif"
"22","ambisius","positif"
"23","andal","positif"
"24","anggun","positif"
"25","angin sepoi-sepoi","positif"
"26","angkat","positif"
"27","antusias","positif"
"28","antusiasme","positif"
"29","apik","positif"
"30","apresiasi","positif"
"31","asli","positif"
"32","aspirasi","positif"
"33","asyik","positif"
"34","bagos","positif"
"35","bagus","positif"
"36","bahagia","positif"
"37","baik","positif"
"38","baik diposisikan","positif"
"39","baik sekali","positif"
"40","baik-baik","positif"
"41","bakat","positif"
"42","bangga","positif"
"43","bantuan","positif"
"44","banyak","positif"
"45","banyak akal","positif"
"46","barang baru","positif"
"47","batu permata","positif"
"48","bebas","positif"
"49","bebas masalah","positif"
"50","bebas pulsa","positif"
"51","bebas rasa sakit","positif"
"52","bebas resiko","positif"
"53","bekerja","positif"
"54","bekerja keras","positif"
"55","belas kasihan","positif"
"56","benar","positif"
"57","bengal","positif"
"58","beradaptasi","positif"
"59","beralasan","positif"
"60","berani","positif"
"61","berapi","positif"
"62","berarti","positif"
"63","berbaik hati","positif"
"64","berbakat","positif"
"65","berbesar hati","positif"
"66","berbudi luhur","positif"
"67","bercahaya","positif"
"68","bercanda","positif"
"69","bercita-cita","positif"
"70","berdaya cipta","positif"
"71","berdedikasi","positif"
"72","berdikari","positif"
"73","berempati","positif"
"74","bergairah","positif"
"75","bergaya","positif"
"76","bergema","positif"
"77","bergembira","positif"
"78","bergembira sekali","positif"
"79","bergengsi","positif"
"80","bergizi","positif"
"81","berguna","positif"
"82","berharga","positif"
"83","berhasil","positif"
"84","berhutang","positif"
"85","berikut","positif"
"86","berimbang","positif"
"87","berisi","positif"
"88","beristirahat","positif"
"89","berjanji","positif"
"90","berjasa","positif"
"91","berjaya","positif"
"92","berjenis","positif"
"93","berjuang","positif"
"94","berkapasitas besar","positif"
"95","berkat","positif"
"96","berkeinginan","positif"
"97","berkelakuan baik","positif"
"98","berkelanjutan","positif"
"99","berkembang","positif"
"100","berkeyakinan","positif"
"101","berkilau","positif"
"102","berkilauan","positif"
"103","berkualitas","positif"
"104","berlangsung mudah","positif"
"105","berlimpah","positif"
"106","berlimpah-limpah","positif"
"107","bermaksud baik","positif"
"108","bermanfaat","positif"
"109","bermanuver","positif"
"110","bermartabat","positif"
"111","bernilai","positif"
"112","berpendidikan","positif"
"113","berpendidikan baik","positif"
"114","berpengalaman","positif"
"115","berpengaruh","positif"
"116","berpengetahuan luas","positif"
"117","berpijar","positif"
"118","bersatu","positif"
"119","bersedia melakukan","positif"
"120","bersemangat","positif"
"121","bersemangat meluap-luap","positif"
"122","bersenang-senang","positif"
"123","bersenda gurau","positif"
"124","berseri","positif"
"125","bersifat dermawan","positif"
"126","bersifat mendamaikan","positif"
"127","bersih","positif"
"128","bersinar","positif"
"129","bersorak","positif"
"130","bersubsidi","positif"
"131","bersuka cita","positif"
"132","bersuka ria","positif"
